Player,OPS,HR,BattingAvg,RBI,Position,Team,Salary
Alan Roden,0.555,2,0.191,9,OF,Blue Jays,760000
Brendan Rodgers,0.544,2,0.191,11,2B,Astros,2000000
Josh Rojas,0.511,2,0.18,11,3B,White Sox,3500000
Keibert Ruiz,0.595,2,0.247,25,C,Nationals,5375000
Chris Taylor,0.557,2,0.186,12,OF,Dodgers,13000000
Tyrone Taylor,0.598,2,0.223,27,OF,Mets,3025000
Jacob Young,0.583,2,0.231,31,OF,Nationals,768700
Cavan Biggio,0.542,1,0.174,4,2B,Royals,2000000
Ryan Bliss,0.596,1,0.2,3,2B,Mariners,762100
Sean Bouchard,0.489,1,0.167,7,1B,Rockies,765000
Seth Brown,0.565,1,0.185,3,OF,Athletics,2700000
Oswaldo Cabrera,0.63,1,0.243,11,3B,Yankees,825600
Mark Canha,0.537,1,0.212,6,OF,Royals,1400000
Vinny Capra,0.334,1,0.125,6,INF,Brewers,761100
Blake Dunn,0.553,1,0.15,7,OF,Reds,761500
Korey Lee,0.762,1,0.257,3,C,White Sox,771000
Nick Martini,0.582,1,0.225,4,OF,Rockies,850000
Miles Mastrobuoni,0.62,1,0.25,12,INF,Mariners,768000
Jorge Mateo,0.483,1,0.177,3,SS,Orioles,3550000
Chas McCormick,0.569,1,0.21,5,OF,Astros,3400000
MJ Melendez,0.321,1,0.083,1,OF,Royals,2650000
Jose Miranda,0.417,1,0.167,5,DH,Twins,783100
Richie Palacios,0.848,1,0.333,3,OF,Rays,775700
Victor Robles,0.611,1,0.245,9,OF,Mariners,4125000
Johan Rojas,0.569,1,0.224,18,OF,Phillies,773500
Ben Rortvedt,0.445,1,0.152,10,C,Rays,1125000
Matt Thaiss,0.637,1,0.218,16,C,White Sox,1000000
Chadwick Tromp,0.515,1,0.143,1,C,Braves,790000
Matt Vierling,0.617,1,0.239,11,OF,Tigers,3005000
Jesse Winker,0.709,1,0.229,10,OF,Mets,7500000
Bryan Abreu,0.0,0,0.0,0,RHP,Astros,3450000
Keegan Akin,0.0,0,0.0,0,LHP,Orioles,1475000
Tyler Alexander,0.0,0,0.0,0,LHP,Brewers,1000000
Nick Allen,0.535,0,0.221,22,SS,Braves,780000
Jacob Amaya,0.26,0,0.106,8,SS,White Sox,762125
Tim Anderson,0.499,0,0.205,3,2B,Angels,1250000
Shawn Armstrong,0.0,0,0.0,0,RHP,Rangers,1125000
Bryan Baker,0.0,0,0.0,0,RHP,Orioles,768700
Luken Baker,0.69,0,0.235,2,1B,Cardinals,766100
Anthony Banda,0.0,0,0.0,0,LHP,Dodgers,1000000
Austin Barnes,0.519,0,0.214,2,C,Dodgers,3500000
Brennan Bernardino,0.0,0,0.0,0,LHP,Red Sox,774000
Jon Berti,0.492,0,0.21,2,INF,Cubs,2000000
Jake Bird,0.0,0,0.0,0,RHP,Rockies,770000
Hayden Birdsong,0.0,0,0.0,0,RHP,Giants,765000
Dairon Blanco,0.5,0,0.167,1,OF,Royals,772000
John Brebbia,0.0,0,0.0,0,RHP,Tigers,2250000
Jonah Bride,0.436,0,0.17,5,3B,Marlins,772000
Kris Bryant,0.4,0,0.154,1,DH,Rockies,27000000
Yennier Cano,0.0,0,0.0,0,RHP,Orioles,772900
Cade Cavalli,0.0,0,0.0,0,RHP,Nationals,760200
Aroldis Chapman,0.0,0,0.0,0,LHP,Red Sox,10750000
Angel Chivilli,0.0,0,0.0,0,RHP,Rockies,762000
Emmanuel Clase,0.0,0,0.0,0,RHP,Guardians,4900000
Bryan De La Cruz,0.453,0,0.191,0,OF,Braves,860000
Enyel De Los Santos,0.0,0,0.0,0,RHP,Braves,1400000
Jonny DeLuca,0.812,0,0.333,4,OF,Rays,770100
Oliver Dunn,0.427,0,0.167,6,3B,Brewers,763700
Ezequiel Duran,0.559,0,0.224,14,OF,Rangers,776500
Jhoan Duran,0.0,0,0.0,0,RHP,Twins,4125000
Mason Englert,0.0,0,0.0,0,RHP,Rays,763400
Lucas Erceg,0.0,0,0.0,0,RHP,Royals,776750
Santiago Espinal,0.574,0,0.243,16,INF,Reds,2400000
Tyler Ferguson,0.0,0,0.0,0,RHP,Athletics,760000
Robert Garcia,0.0,0,0.0,0,LHP,Rangers,772500
Yuli Gurriel,0.339,0,0.111,3,1B,Padres,1250000
Josh Hader,0.0,0,0.0,0,LHP,Astros,19000000
Seth Halvorsen,0.0,0,0.0,0,RHP,Rockies,762000
Garrett Hampson,0.419,0,0.143,1,2B,Diamondbacks,1500000
Emerson Hancock,0.0,0,0.0,0,RHP,Mariners,766000
Brett Harris,0.691,0,0.274,5,3B,Athletics,760000
Ryan Helsley,0.0,0,0.0,0,RHP,Cardinals,8200000
Tim Herrin,0.0,0,0.0,0,LHP,Guardians,777300
Jeff Hoffman,0.0,0,0.0,0,RHP,Blue Jays,7666667
Jacob Hurtubise,0.35,0,0.083,0,OF,Reds,761500
Travis Jankowski,0.575,0,0.244,2,OF,White Sox,1000000
Kenley Jansen,0.0,0,0.0,0,RHP,Angels,10000000
Griffin Jax,0.0,0,0.0,0,RHP,Twins,2365000
Tommy Kahnle,0.0,0,0.0,0,RHP,Tigers,7750000
Kevin Kelly,0.0,0,0.0,0,RHP,Rays,776100
Andrew Kittredge,0.0,0,0.0,0,RHP,Orioles,9000000
Ryan Kreidler,0.295,0,0.105,0,INF,Tigers,764900
Jordan Leasure,0.0,0,0.0,0,RHP,White Sox,765800
Jack Leiter,0.0,0,0.0,0,RHP,Rangers,762500
Brandon Lockridge,0.575,0,0.231,11,OF,Padres,760300
Sam Long,0.0,0,0.0,0,LHP,Royals,950000
Nicky Lopez,0.221,0,0.042,1,2B,Angels,850000
Daniel Lynch,0.0,0,0.0,0,LHP,Royals,782500
Joe Mantiply,0.0,0,0.0,0,LHP,Diamondbacks,1700000
Manuel Margot,0.616,0,0.316,3,OF,Tigers,1300000
Justin Martinez,0.0,0,0.0,0,RHP,Diamondbacks,1700000
Phil Maton,0.0,0,0.0,0,RHP,Cardinals,2000000
Shelby Miller,0.0,0,0.0,0,RHP,Diamondbacks,1000000
Hoby Milner,0.0,0,0.0,0,LHP,Rangers,2500000
Garrett Mitchell,0.58,0,0.206,3,OF,Brewers,772000
Ryne Nelson,2.0,0,1.0,1,RHP,Diamondbacks,825000
Kaleb Ort,0.0,0,0.0,0,RHP,Astros,770000
