Player,OPS,HR,BattingAvg,RBI,Position,Team,Salary
Andre Pallante,0.0,0,0.0,0,RHP,Cardinals,2100000
Jhonny Pereda,0.658,0,0.246,4,C,Athletics,760000
Kevin Pillar,0.465,0,0.209,1,OF,Rangers,1000000
A.J. Puk,0.0,0,0.0,0,LHP,Diamondbacks,2950000
Bryan Ramos,0.5,0,0.167,2,3B,White Sox,762625
Colin Rea,0.0,0,0.0,0,RHP,Cubs,4250000
Hunter Renfroe,0.483,0,0.182,4,OF,Royals,7570000
Pablo Reyes,0.468,0,0.194,2,INF,Yankees,900000
Trevor Rogers,0.0,0,0.0,0,LHP,Orioles,2600000
Tyler Rogers,0.0,0,0.0,0,RHP,Giants,5250000
Nick Sandlin,0.0,0,0.0,0,RHP,Blue Jays,1630000
John Schreiber,0.0,0,0.0,0,RHP,Royals,2300000
Tanner Scott,0.0,0,0.0,0,LHP,Dodgers,12141009
Hayden Senger,0.415,0,0.181,4,C,Mets,760000
Jose Siri,0.292,0,0.063,1,OF,Mets,2400000
Jacob Stallings,0.363,0,0.134,9,C,Rockies,2000000
Ryne Stanek,0.0,0,0.0,0,RHP,Mets,4500000
Ryan Thompson,0.0,0,0.0,0,RHP,Diamondbacks,2965000
Trent Thornton,0.0,0,0.0,0,RHP,Mariners,2000000
Gio Urshela,0.613,0,0.238,20,3B,Athletics,2150000
Victor Vodnik,0.0,0,0.0,0,RHP,Rockies,765000
Will Wagner,0.603,0,0.225,7,INF,Blue Jays,763000
Ryan Walker,0.0,0,0.0,0,RHP,Giants,780000
Garrett Whitlock,0.0,0,0.0,0,RHP,Red Sox,5500000
Bryse Wilson,0.0,0,0.0,0,RHP,White Sox,1050000
Connor Wong,0.5,0,0.19,7,C,Red Sox,790000
Gage Workman,0.485,0,0.188,2,INF,Cubs,760000
